,0,1
IQV,xbg,52.39
IRM,xbg,54.98
HOLX,xbg,50.4
EXPD,randomforest,51.790000000000006
ESS,xbg,51.59
VRSK,xbg,49.2
NOV,randomforest,51.99
FLS,randomforest,52.790000000000006
STZ,xbg,51.2
HAL,xbg,49.4
ADI,xbg,50.2
DXCM,xbg,53.59
DXC,logisticregression,49.2
WELL,xbg,49.6
APTV,xbg,50.6
