,training method,accuracty
NOW,randomforest,54.779999999999994
PEG,logisticregression,49.6
FE,logisticregression,52.59
ADSK,logisticregression,50.6
PEP,randomforest,50.2
PCAR,logisticregression,48.209999999999994
EXPE,logisticregression,49.4
FTNT,logisticregression,48.41
LLY,logisticregression,49.0
PH,logisticregression,50.6
JNPR,randomforest,54.17999999999999
PPG,logisticregression,55.17999999999999
IQV,logisticregression,48.8
IRM,logisticregression,53.190000000000005
HOLX,randomforest,49.2
EXPD,randomforest,51.790000000000006
ESS,logisticregression,48.209999999999994
VRSK,logisticregression,44.82
NOV,randomforest,51.99
FLS,randomforest,52.790000000000006
STZ,logisticregression,48.209999999999994
HAL,randomforest,48.41
ADI,logisticregression,50.2
DXCM,logisticregression,49.0
DXC,logisticregression,49.2
WELL,logisticregression,49.2
APTV,randomforest,49.0
